@relation 'data'

@attribute Sentiment {negative,positive}
@attribute SentimentText string

@data
positive,'- &quot;the world makes music for people who listen &quot;'
positive,' &quot;Will Diggâ€™s New Share Feature Pollute Twitter?&quot; ( http://tinyurl.com/ncqkm5 )'
negative,' (angry) mixed motions! but soo frustrated x( http://plurk.com/p/13s5mg'
negative,' (mood i am in)'
positive,' *exited* I just bought some oreos!! I hope everyone likes oreos..'
negative,' *hugs @ignorantsheep*'
negative,' *sends you e-hugs*'
negative,' *tear*'
negative,' *cries* I so depressed, thanks to you my angel! &quot;I gonna find someone someday who might actually treat me well&quot;!!'
negative,'--- *On my way to the doctors with my Duo, my ass hasn even had breakfast yet  lol'
negative,' *sob* must be in bed!!'
negative,' *wishes she was at summer jam*'
negative,' , school! GrRr im not in the mood to take my make up back off then put it on again when the teachers leave!'
positive,'-- . BABBBBBBBBYY .  I missed you MUCH!!'
negative,' . Sunday is over.'
positive,'-- . well then you gon have to stop w. that . &quot;IDC&quot; shit. JUST be faithful like *points to em* MOI!'
negative,' .. why the jonas are bad with us !! come to paraguay'
positive,' ... its JONAS DAY!!!!!!!!'
negative,' ... UghH... Anybody wanna come to my house and cook? My mom is leavin for work and aint cook me shit !... Can trust dem hoes!!!'
negative,' ....  i don know what to do..'
negative,' .... i think i lost my spanish book!! :-X'
negative,' .... Life can be so complicated. I know God has a plan .... I just have to trust in him.'
negative,' ......... Oh well, at least Suzumiya Haruhi no Yuuutsu is on air.'
negative,' .........not really a good night guys ! buu huu'
negative,' ...I did not get cast in but I will keep looking for some dance opportunities.  I need some exercise.'
negative,' ...the ground around me is wet... i looked up to see if any drops fall on my face...it was drizzle all around but I am missing my drops'
negative,' ..i forgot to bring my new sharpie pens to school today..booo!'
negative,' ..omg...my celly is off...this hasn happened to me in years...WTF!!! gota get my bill paid'
positive,' : The Last Gadget http://tinyurl.com/pd4wyp #Geek_And_Poke'
negative,' :( this is so horrible'
negative,' :( where ius that one person that can make me smile'
negative,' :S this tweetdeck is killing me hate it'
positive,' ;) July Flowers (July 2009) #Holiday'
negative,' @ last.fm not working.'
positive,' @aaronXnow finally got twitter haha'
positive,' @aChAotIcBeaUtY'
positive,' @Aimee_B_Loved I think there may be a connection between Paul Reubens and the reason why movie theater fl.. http://tr.im/nfKO'
negative,'- @alexjreid - saw that earlier, can even comprehend what that couple were feeling. Really tragic '
positive,'- @alittlebit - temperature is down, but the pain is still bad. Hoping antibiotics kick in soon! Thanks for asking '
positive,'-- @anyamanda said I tweets less these days so, hi! '
positive,' @AuroraLee Would love to see you guys sometime! *grin* - and aw rats, maybe itl warm up real fast??? LOL'
negative,'- @benboychuk I hope it not actually on here birthday that she getting shots.'
negative,' @billbeckett signature has 100\% rubbed off my mondayeyes bracelet. At least I have plenty of autographs from him, but still. Sad day.'
positive,' @blackswan2 &quot;to all you&quot; ? http://blip.fm/~7d1qo'
positive,' @blondediva11 What happened while I was gone? Anybody get arrested http://tr.im/koFz'
positive,'- @breegeek Il know if u can find a replacement 4me. Il still pay u if not.  I won let u hang'
positive,' @canuckgrrrl Seeing a guy dressed up as a banana totally made my day. Phallic symbol FTW http://tr.im/mVTm'
positive,'- @carole29 yep  coz of the England game on Wednesday'
negative,' , Alllllan ruins my lifeeee.'
positive,'-- . =D There my BOO.  *Blushes*'
positive,'-- . BYYEEE . ILY2 Jamarcusssssss'
negative,' . I was want to buy the sims 3 . But it sold out . Wtf . Haha..'
positive,'-- . You aint gotta apologize. I know I not ugly.'
negative,' .. just'
negative,' .. yep,i have things my way all the time. i am selfish. everything revolves around me. yep. im a bitch. great for me (Y) =|'
negative,' ... ...I don wanna get rid of twitter  You guys are too cool...'
negative,' ... i try... i try so hard... and i seem to get no credit for it.... wats the prob?'
negative,'- ... wide awake, but dont actually wanna go to school :S  xxx'
negative,' .... Dream beautiful.'
negative,' .... now only have one roommate....'
negative,' ..... Im givin myself 5 minutes to turn that frown upside down'
negative,' ......i cant even say a word right now'
negative,' .....why am i so sad??...becuz of u or becuz of the exam??.....i think..becuz of u...'
negative,' ...?                   ..frustrated?'
negative,' ...and i feel a shallow breath that squeezes past the fifty pounds of stone laid in my chest.'
negative,' ...just found out that a friend from my childhood has passed away... May he Rest In Peace.'
negative,' ...still in the office...'
positive,' ...that is all'
negative,' ..sniffles... since I dont get to leave this fucking house...AW GREAT the power gone. and its getting dark.. Puurfect!'
negative,' / I feel so ... ... Left out'
negative,' ::sigh:: we didnt win the contest . stupid popularity contest. i had so many votes for her also.  im realy sad. i had such a good feeling'
negative,' ;( noooo! why? things are so complicated if I spelt that wrong idc'
negative,' ;( noooo! why? things are so complicated if I spelt thy wrong idc'
positive,' ;) Butterfly Day (Jun 19, 2009) #Holiday'
positive,' ??? what does it means ?'
negative,' @ JFK International Airport http://loopt.us/PPYZTQ.t'
negative,' @ jonas brothers youtube bein suspended'
negative,' @ moval court 4 a traffic ticket..I should b sleeping..aahh.'
positive,'- @ work.. || Only 5 hours of it today and then weeeekend!  Can wait for the long weekend to begin! Gonna get some things done for sure!'
positive,' @ahugeproduction Praying for my cold to go to my head because a skunk just sprayed my yard. This is the w.. http://tr.im/n8AI'
positive,' @AriaaJaeger Created from the realms of Light, pure love commands the fold When you think and speak with love, a new world youl behold~'
positive,' @arjunbasu The music was so quiet that he was sure there was a massive hoax being played. On him alone. I.. http://tr.im/mP2j'
negative,' @bananarchy_atx sold out of frozen bananas today!   http://mypict.me/2QIM'
negative,' @beckobviously i have no car to come to you either.'
negative,' @belllareow has disappeared again'
negative,'- @billyraycyrus oi tell your daughter to lower her ticket prices we cant afford it in london  my sister cried.'
negative,'- @brooklyn_belle LOL. &quot;cat.&quot; I a huge fan. Also, the more i think about it, the more I think you should hold off on Sims 3 '
positive,' @Canuckflack Speaking as a historian, WTF do you incorporate twitter buzz by upper middle class North Ame.. http://tr.im/oFLS'
negative,' @cnnbrk: Farrah Fawcett, star of &quot;Charlie Angels,&quot; has died from cancer at 62.'
positive,'- @cmedders Yes, before the show, I suggested that we ought to do a celebrity deathmatch '
positive,' @CranberryPerson Dear hyper chihuahua, we only have 45 minutes left together on this drive, but I have a .. http://tr.im/lAj6'
positive,' @danawalker Washington Capitals would be one of #myweakness as well.'
positive,' @daveena looking fwd to a twitpic of selma soon. Cool name, add a k to the end and it toka'
negative,' @desiredeffect'
positive,' @dustincary yea I really wanna see a win for him at daytona'
positive,' @DWO34 Great to follow @BUTTERFLYWHEEL @DebraWard @chastity_1111 @Cortnee4Christ @DWO34 @DarrenSproat @Sharboubou @mikehanes'
positive,' @EightyThreeKid aww I sorry bae u kno I be grindin =D BUT I GOT U I SWEAR....I needa go buy an artbook that or construction paper'
negative,'- @fontenot619 Hey you! @PoisonGirl10 How long will you be on? @summerblonde83 Thx! @Nic0pic0 hehehe yw ;) @sevgli Yeah, theye not! '
positive,' @gigia: &quot;@Mama_K: &quot;Nobody told me Violent Femmes covered Gnarls Barkley! &quot; tks, dude!! &quot; ? http://blip.fm/~6svjq'
negative,' @HitzProductions unfortunately I coming from NJ the boonies...I gotta drive to the path'
negative,'- @iamfauxpas All gigs this weekend have been cancelled, so it may be temporary or shut for good. Still trying to find out. BOO. '
positive,' @idvssuperego Started working on a â€œwarm, fluffy fartâ€? tweet before realizing I donâ€™t especially like far.. http://tr.im/n7J0'
positive,' @infobotz News = Google Getting Twitterpated? - http://tinyurl.com/oropl7'
negative,' @isak is mad at me. #fail'
positive,' @jazzgotsoul @liveguy lol nooooooooo!!!'
negative,' @jessdelight I just played ur joint two songs ago. Everyone in studio was feeling it!'
negative,'- @jonswerens I can get excited about Conan.'
positive,' @LadyKeisha @scorpio510 thanx for the post &amp; the warm wishes.. enjoy ur day!'
positive,' @latuacatante17 youu welcomee'
positive,' @LisaBarone If, thru the miracle of modern science, Bruce and Danny had a child...'
negative,' @lisad stopped talking to me. I should stalk her. ^^'
negative,'- @littlecharva - youl be pleased to know I did not have a nice night sleep, even in a comfy bed ;) even a sleeping bag would be same '
positive,' @loic Now try sex in bing, deactivate safe search and go to video. You are now on a porn site without lea.. http://tr.im/n18y'
negative,' @lushone toolio has court on the 24th...'
negative,' @Mgapmp When you meet @johncmayer tonight, please tell him my story. How Laker Fans made me miss his show!'
positive,' @MICHAEL_CASTRO is not at 902  thanks!'
negative,'- @minxlj hope you get better soon'
negative,' @misterdjin i just saw...'
negative,' @Mizz_Bliz I slept late too. I wonder y u did...Mhmm. I not as hype as u think to leave the country for 2 weeks &amp; 3 days.'
negative,' @MIZZWALKER which one???'
negative,' @moogyboobles AHHHHHH - bloody Five. Why did they give away House (and me the Sky subscription)?'
negative,' @Mp3Jackson Is Upset With Me Lol'
positive,' @mrjoecool well praise the lord 4 gud moods i kno i need 2 b 1, im workn out ma thighs &amp; these dark clouds is scaring me'
negative,' @Nambu sending my tweets from wrong account although selected the right one.'
positive,' @oliveshoot aw, sweet Leslie was tweeting luv last night!  You are my #1 and absolute FAVE!'
positive,' big ass kool-aid smile on my face from talkin to my boo...'
negative,' bleh... I feel like QQing now.'
positive,' blowdrying my hair'
negative,' Boo to that'
positive,' bored........doing nothing at all....okay...i a pretty shy girl...'
positive,' BOREDDDD  going to do powerpoint'
negative,' boring nite...damn I guess I better get use to this'
negative,' boro let me down. It getting very tight.'
positive,' bosco graduation then sara voice recital'
positive,' breakfast with family'
positive,' Britains Got Talent on RIGHT NOW ! Good luck Susan Boyle ;)'
negative,' bummed to be missing bb Kris comcast chat. Stupid responsibilities.'
negative,' burnt tongue, hot chocolate has a downside'
negative,' but eatting popcorn so its getting better'
negative,' but I don want a boyfriend for the summer.'
negative,' but I love you, Aaron.'
negative,' but not HIM! He just a brown nose, telling her she super-duper beautyful and then he just said a day before: sorry someone died!'
positive,'- but suddenly something happens, I write it in Portuguese '
negative,' can first see MTV Movie Awards on Thursday!! how sad!!&lt;3&lt;3 but am looking forward to Thursday!! jubii!!'
negative,' Can I join you?  {*_*}  KarenWild'
negative,' canon powershot s400 you had served me very well. i am sorry that i left u in that car for hottest 3 days... i mourn your loss'
negative,' cant afford to see Angels and Demons, so i watched it for free: http://tr.im/lvBu'
negative,' can get motivated, it might b the sunday crying club for me!!'
negative,' cant get up to auckland to watch jb 3d movie. im soo gutterd. suppose i have to wait till the dvd release..'
negative,' Can log into my computer at work.  ack!  Got lots to do. IT guru out today. can anyone help me?'
negative,' can make any labels til my computer is fixed..can fix my computer until I make some money..can make money unless I sell soap grrrr'
negative,' can sleep -_- this sucks eggs and bacon! I suppose to get up early to'
negative,' can sleep, so damn miserable! I sooooo itchy please help, I can sleep, I going to cry! :('
positive,' Can Wait For Hills Finale Tonight! â™¥'
positive,' Can wait for the weekend, BMTH on Saturday!'
negative,' Carrie has a bad eye infection...just waiting for hear from the vets to see if they found anything'
negative,' cba i revising my french oral fuck it'
positive,'- certification test #2 at 8:30 this morning. Feeling much better about this one today'
positive,' changin my name to ambergirl66 ;) haha my youtube name and it mathces my background ;)'
positive,'-- chilling with my niggahz Haley and Dylan'
positive,' chocolate cake with a delicious strawberry yummy yummy'
positive,' church with matt,was...good. I think I going to be a hurchgirlnow. )'
positive,'-- city tonight for mae!'
negative,' cnt even use a single Twitter App!!!!!'
negative,' cold, despite the heater. weirdly though, it not actually cold today!'
negative,' come on bitchesss #barakatday #barakatday #barakatday #barakatday'
negative,' come party'
positive,' come to manchester while your in england  id love to meet you  did you have fun in germany? its beautiful, i love it. (L) xx'
positive,' Coming up to the home stretch now with this J/M fic. YAY!!'
negative,' computer is being very tempermental at the moment....'
positive,' Congrats to AL newest state Senator elect, Democrat Mark Keahey. http://is.gd/MRr3 #alpolitics'
positive,' Content.&quot;made a pac lets see how long it last&quot;'
positive,' cookies the first time'
negative,' could this night be any worse?'
negative,' couldn find it'
negative,' cramps. Drugs--good.'
negative,' crap day tat will get craper'
negative,' credit card bill. ow my wallet.'
negative,'-- dad came back &amp;asked us to go to anyer till thu! While him, gonna go back &amp;forth from banten to anyer, for us. Poor him '
negative,' dads got to turn the power off  caio'
negative,' dammit... No more sleep for me.. And on my day off to.. :-/'
negative,' damn gettin it from someone right now, damn i guess im not sleeping tonite with these texts.. '
negative,' damn u still haven been to sleep? and just look them up...i think it was Royalty Beats and City Council'
negative,' damn! didnt make on time and the border was closed! drove hr. to toher side of state to make it ti Mexico!.sniff! sniff! tired!'
negative,' Damn, lost three followers... I was getting so close to fifty.. Help me out?'
negative,' damn. There has to be something wrong. And its not youu'
negative,' Dan won have off for my birthday.'
negative,' darn you city, I just want to leave!'
positive,' def. i have no studio so ur jus gunna get the lyrics [shrug]  @ExoticBella_'
negative,' definately bedtime'
negative,' definately just missed my train. smh. fuck!'
negative,' depressing day ? http://blip.fm/~6tfp6'
negative,' devstateddd, my silly iphone deleted all my jailbreak stuff  thats 25 apps !'
negative,' did not get to go see UP!! Oh well ended up going to dinner with Blase and Bridget!'
negative,' didn get much sleep again cos of the flippin neighbours! Grr time to work again!'
negative,' Didn get to do some car scheming tonight. sad. but i did get to mosh while looking like a complete bogan, WOOTS!'
negative,' didn go out last night I fell asleep .... I Suck (not literally)'
positive,' Didn have time updating because was 2 busy enjoying this &quot;love making, sleep with no clothes on, &amp; eating bbq&quot; weather. I miss this &lt;3'
negative,' didn think Netball was on coz it was raining when I got there ... Now no one can take me  Manee is going to b annoyed :|'
negative,' Didn win the twitter contest. BOO'
negative,' Dinara lost again in Roland Garros. Why the Safins have to do it hard?'
positive,' dinner &lt; bath &lt; workout &lt; run'
positive,' Diplomatic husband to his wife &quot;How do u expect me to remember ur birthday when u never look any older?&quot; (via @normaltusker @nehabagoria)'
negative,' dissapointed.'
negative,' does anybody know the statistics homework *not that I have started* nobody is answering my emails about business studies...'
negative,' doesn know what to get fir a tattoo'
negative,' dont feel good ptosis ;)'
positive,' Don forget to vote today! http://bit.ly/3MG0r'
negative,'- don ignore the smell of sizzling skin when youe sitting in the sun!'
negative,' dont know whats wrong with me'
negative,' Don like ending the night arguing with the huz in SMF over stupid home improvement crap.'
negative,' don wanna go to work'
positive,' @Dayngr TweetWrath I think I just coined a new word where is that twitter dictionary http://tr.im/nyYv'
negative,' @DemonicTurtle - You guys have fun last night? I hope you got my text... Pub quizzage tomorrow?'
positive,' @DJWiLLGATES'
negative,' @electrograffiti I know but Il miss having someone to bitch about Brussels trams, metro, bad customer service, lack of quorn.. etc.'
negative,' @ELYSIANFIELDZ=CLASS @ELYSIANFIELDZAJ=NO ANSWER @RON_NO4LYFE=WORK @_ETJ= ON THE ROAD @PLUSISAPLUS=N NOLA IM HUNGRY WITH NO1 2 EAT WITH!'
positive,' @essentially_me Funny fact: @sween has about 3x his town population following him on tumblr. How does h.. http://tr.im/lCEl'
positive,' @fernandofelman am gonna miss you too. if it really gonna be 2-3 years, i might end up visiting you in Aussie land (i wish)'
negative,'- @flopearedmule  Guess that the end of my love affair with emusic.'
positive,' @Grahamapalooza @RoniBryantMusic @Rob_in_Grantham @BananasMel @joetech @joecopas2671 @britespark @r0ckrulez @johnnybeane @bsideofSoccer'
positive,'- @hannahradford is taking me to lunch today'
negative,' @I_am_delo'
negative,' @iggigg too busy to see me in London this evening. What is a boy to do?'
negative,' @JeffersonReid is never on Twitter anymore'
positive,' @jessdelight: LMAO @liveguy'
positive,' @joeschmitt Twitter maintenance on a Friday night? They really haven been listening if they think we wo.. http://tr.im/nDkq'
positive,' @johnmaeda Are you a .EXE (do-er), .PPT (talk-er), or .TXT (leafy potted plant) http://tr.im/oBOf'
negative,' @joseke Trent Reznor quits Twitter - http://migre.me/281e (via @trabalhosujo)'
negative,'- @Kerry350 would love to meet up with yourself and @angeloys but Ie made plans already  wel get another opportunity again soon!'
positive,' @krystynchong that a lovely compliment. thx much!'
positive,' @ksymmonds THANKYOU'
negative,' @LAFD*UPDATE: SB 110 Fwy x 8th St* Correction: Dead female now 6 y/o; LAFD complete; CHP &amp; Coroner to handle; NFD - Brian Humphrey###'
negative,' @lazoug KStew and MA still together http://bit.ly/cdrcw happy or not?? Lol Im happy if Kristen is happy'
negative,'- @libraritarian59 Oh no! @donutspy isn a good link!'
negative,'- @littlecharva - if the front wasn black on both, I would have got the white one. As it is, the black looks sleek &amp; the white doesn '
negative,'- @littlecharva - the full voice control is making me want iPhone 3GS, but 02 will charge me a fortune as my 3G contract not up til April '
negative,' @MaMii_THiCKNESS don do dat. jst tell em 2 suck ur dyck! that always makes me feel better'
positive,'- @MelbourneVixens Awesome 4th quarter ladies! Great game'
negative,' @monique4ever is messing with my mind.'
positive,' @netfart quite the opposite'
positive,'- @nikkofelipe night, and thanks for the call '
negative,' @ohhushaubrey it makes me wanna cry'
positive,' @PAN1F @OregonMJW No, I do know the difference! Like I say, it been a long time. A very long time http://tr.im/nJOo'
positive,' @PhillMason @Philoscribe Thank you. I am genuinely grateful'
positive,'- @PinkElephant73 So pretty much you look like a candy floss machine today'
positive,' @prblog @steverubel posterous looks like tumblr for iPhone? looks interesting. can you fold this content .. http://tr.im/nhcv'
negative,' Dont Wanna Leave NY Today.'
negative,'dont worry about the for amigos!! there still hangin in there  &lt;//3'
negative,' down to 3k in chips.'
negative,' downloaded one movie yesterday and having some problem with that ,  i thnk i deserve that...'
negative,' Driving Lizzie to the airport. Say good bye Lizzie.'
positive,'-- DT tonight; DT tomorrow day &amp; night   beauty.'
negative,' dude I almost just shocked myself. Lesson learned never get outta the shower and think electricity won hate on ur ass.'
negative,'- eaten some steak!!! im feeling good! much better!! missing my lady though'
negative,' eating my last wizz fizz'
negative,' ECL all day to try to cram all of this organic chemistry back into my head. Final tomorrow. ugh'
negative,' eff that bitch at Dunkin Donuts'
positive,' elise and melanie are the SHIZ,'
negative,' ellie just text me saying &quot;theyre not gona read our text are they? &quot; I WILL SPEAK TO MCFLY!'
negative,' emotional.'
negative,' Everton F.C. just got beat in the Finals of the F.A. Cup against Chealea F.C. Oh well, at least we got to the finals and played well!'
negative,' everton. oh well. lol.'
negative,' every fucking day'
negative,' every one i was talking to on msn has gone offline  and i won be able to talk till them tomorrow  i feel lonely :( x'
positive,'- Every so often I catch my own reflection &amp; think .. Now that one cool son-of-a-b*tch .. today one of those days'
negative,' every time i leave my room,i miss bubu sending me a msg and then he gone,same on my side.its been hapnin all day...universe?!!mxit then'
negative,' everyones drunk but me'
negative,' everyones dying or bordeirlne on SVU'
negative,' Exams.....help !'
negative,' expensive car repairs'
positive,' Explore twitter'
negative,' F'
negative,' failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.'
negative,' failing at everything i should just give up now....'
positive,' Famed Michigan bookstore to close its doors http://u.mavrev.com/bc7v'
negative,' famliy  going bck homee and have too taKE sister hores riding oh no gonna be a boring day'
negative,' Farrah Fawcett dies of cancer at 62. http://bit.ly/OnhYd'
negative,' fcukk you!'
negative,' fedex will be kicked out of the french open ...'
negative,' feelin very pessimistic ):'
negative,' feeling a litle sad'
negative,' feeling all sad leaving mumbai...'
negative,' feeling down. reality is setting in. i know i should be beyond this point. why am i still here? i want to follow my dreams but im scared'
negative,' Feels bad for Cali... poor thing.'
negative,' female model tortured by prince http://tinyurl.com/mbmanohara'
negative,' ferrets are much cooler than fishes.'
positive,' FIELD TRIP TODAY  LEAVING NOW :3'
positive,'- finally at home ; bout to napp , then get ready for college tomorrow  ughhh ; sooo excited !'
negative,' Finally managed to check the Euromillions results......NO ï¿½89 million for me I afraid :[   Oh well...you gotta be in it to win it!'
negative,' finding out the Hollywood Video i frequent, is not re-model-ing, and is in fact, closed  *cancels account* so much 4 super cheap DVDs'
negative,' @PurpleHazeYobi Hope you had fun with &quot;Lisa&quot; the Jillian replacement lol... I was busy getting @_rosiecakes drunk! lol I &lt;3 u both... xo'
negative,' @richietachie i missed all..imma call u tomorrow..and reduce the number of Qs by tomorrow pls...i have a phobia for that lol seriously'
positive,' @rickswift #followfriday these ppl or catch crabs @KarlKleese @lpjdesign  @LostZombies @pinkraygun @BittenbyBooks @hippojuicefilm @zazzle'
positive,' @SandyU @MightyBoognish @kittyireland It light with a bit of punch. Mission=San Francisco gin, Mexican liqueur, seemed an apt name.'
positive,' @Savage_Death55 I am super emo about stupid stuff rn, and SG is making me feel better. :p'
negative,' @sf_giants bullpen loses lead'
positive,' @ShawnaShameless &amp; @killavilla if anyone else said something it to you too.'
negative,' @Spiral_galaxy @YMPtweet i mean we have the best religion the only thing that we have to do is to follow it the right way'
negative,' @StephenHDunn bows out of the Raid. &quot;Dunn&quot; his back Inn. Speedy recovery mate.'
positive,' @stevijean yeahuhh'
negative,' @sylvanus is having the worse day ever. Boss is spazzing out at work and finally done with a late night photo shoot, only to have a flat'
negative,' @tahninial just called me a cheeseburglar. He made me sad'
negative,' @taylorswift13 didnt win the first award she was nominated for. Oh well.. Shes tied for most nominations.'
negative,' @Tellman says, &quot;Crush the Commies&quot; = sad. My grandfather, RIP, was a Commie @Tellman'
negative,'- @TendaiJoe well none of us are getting out of here alive but we would like to stay a while.I wish people would stop killing each other'
negative,' @the_prodigy AND @NKOTB in Boston 2day Boo!! Roll on summer already!!! x'
negative,' @therealglambert sorry...got carried away with gossip  on another note: Pass on a Hippo Birdie &amp; a big koala hug to KRIS for me! xoxo K'
negative,' @thesmartmama I have no office. I know this is hard to believe, but people don want to employ me.'
positive,' @ThisChicsFlava: @DaPrbmChild lmao&lt;3'
negative,' @tommcfly hi when ur back &amp; when ur next in mk i am gona need 1 of your really good hugs that only you and my friend liam can give ok.'
negative,' @tweetdeck lost my groups, and thats not a good thing with 23k followers '
negative,' @WeeLaura Guardian UK: 12 students reported killed in crackdown after violent clashes in #Iran http://bit.ly/wHLBv'
negative,' @YMPtweet @Spiral_galaxy  but so badly no one does , i know that there is more but that what i got so far'
positive,' @zeldman just said on Flickr re a Mac that wouldn install OS X (yes): &quot;As user-focused design goes, this is an exploding colostomy bag&quot;'
negative,' __cheer up emo kid.'
positive,' ~ LVATT IS COMMING!!! ~'
negative,' = next few days'
positive,' =] happy sunday =]'
negative,' 1 dinger in and I so regret popping that pill...'
negative,' 1 month of bed by 1:30AM, already failing as you can see'
negative,' 2 days I haven tlkd 2 mi amor..im kinda stubborn when it comes 2 my bf..I will NOT call..not a bugaboo type'
negative,' 2 hear about jon n kate...couples should steer clear of those reality shows! just say no!'
positive,'--- 2009 NCAA National Softball Champions UW Huskies'
negative,' 2nd item did not arrive, am still waiting for it to show in my aramex web page.'
negative,' Finished my paper!!!!!!!!!! But............   smh'
positive,' first days are always good..wish my dentist gave me more hours though'
negative,' fone off....cant talk 2 my love....imu marcus!!!!!'
negative,' for the fact that *I* didn get any work done, not that you all did. '
negative,' forgot XBL was off today, was about to check to see if a game was on XBLA that I wanted to buy  oh well, maybe tomorrow'
negative,' found a mosquito bite.  (Those tend to get really swollen and red for me)  Distracting myself with caffeine'
positive,' Found a way to make this Private woot woot'
negative,' Four more fake people added me. Is this why people don like Twitter?'
negative,' frank iero should be the sexiest vegetarian 2009.'
negative,' french lost, #fb'
negative,' fuck man .i hate this. =O. work suckss :('
negative,' fuck you, :]'
negative,'- fuck, my money is running out &amp; i have no jobs... '
negative,' fuck. I am an ugly person.'
positive,' fucking rur mom'
positive,'- Fwd: Good Morn,happy birthday !  regardless of what ppl said yesterday,they don realize what happend behind the scene.One of the  ...'
negative,' gah. so much less ok than i was trying to tell myself i was.'
negative,' GCSE clearly suck.'
negative,'- Geez Chelsea already scored against Everton   1-0'
negative,' gerald lost a friend............idk what to say........this is like day 2 of crazy events.......'
negative,' getting &quot;goodbye&quot; e-mails from #Iran #iranelection'
positive,'-- getting a Mani + Pedi with the husband!'
positive,' getting a webcam today.'
negative,'- Getting ready to leave for Spring City, TN - @EzraJane I going to miss your show tonight... '
positive,'- getting ready to watch the Sprint Cup boys try to tame the concrete Monster Mile! hopefully tires won be too much of an issue!'
negative,' girls girls. don fight! you both can have me! there enough to go around!'
negative,' gnight my phone sucks Bleh'
positive,'-- gight tweeties! &lt;3 talk to you all in the AM  - @damesmash haha you have work in the AM'
negative,' go away migraine!!! you are not welcome!!!'
negative,' go away rain.'
positive,' go follow my personal twitter! @nikkidallasen'
positive,' Go Wings! FTW!'
positive,'- God i up early. Hayley still asleep but today is party day so i getting stuff ready.  x'
positive,' going home to see my baby   [dont be ashamed of your faith]'
positive,' going out for dinner with the family'
negative,' going to bed'
positive,' going to bed.'
positive,'- going to bed.'
negative,' going to get piï¿½a colada mix to wallow in my sorrows'
negative,' going to have such a bad day, I love my x3 I can believe I backed into someone '
negative,' going to lay down. Fuck tonight'
positive,' Going to London Expo this weekend  Can wait !'
negative,' going to master classes without my car... I miss you my VW!!!'
positive,'- goingg to sleep  school , then out for pizzaa!'
negative,' gonna miss jesse mccartney live stream from kiss concert cuz i have to babysit. figures they dont have internet klfjhadsklfhk fml'
positive,' Gonna WoW for a bit. Later, Twitter &lt;3'
negative,' good luck!!'
positive,' good morning lovely!'
positive,' good morning/afternoon. Things will be great today.'
positive,' @only1fe FF @TommyBlack @djksly @Wordsmithmusic&lt;--FF them!Tommy- CHi ALLday K-sly..FLY!!JUNCITY! MANHATTAN!ATL OWWW! ; ) wordsmith fiyah!'
positive,' @pageoneresults Online reality blogging &amp; tweets... My Life On the Social Media D-List'
positive,'- @paul_a_smith - ooh, but Clean Sheet Day is awesome!! Woo!  hope youe feeling better now?'
negative,'- @PJ - @alexjreid family friend who died is also my old art teacher  very sad, he was a madcap teacher we all liked'
positive,' @rabbitroodle  I think Ie won the battle over the impending *crud*. Enjoy your drive this AM'
positive,'- @rainboweffect Crickey can think that far ahead - think getting to 2009 followers is pretty ambitious'
positive,' @reidstott Coffee keeps me running. In fact, without coffee, I wouldn get any exercise at all http://tr.im/mNkZ'
positive,' @remysoon'
negative,' @saharabloom got off lazy bum and did Chalean burn intervals. I turned a fascinating shade of puce. Wondered where all the oxygen went .'
positive,'- @samshafer I bookmarked it and will check it out after I get some sleep. Thanks Sam!'
negative,' @shanedawson i sad now i leave for 2 hours and u didn even miss me  anywho um i still luv u and whats with getting a frozen turkey?'
positive,' @ShannonHerod &quot;It is always your next move.&quot; Napoleon Hil http://tr.im/mR0u'
positive,' @sonjatweet ur hot'
positive,' @ssandall That it! Removing bots is like weeding a garden. Not fun, but must be done... eventually!'
positive,' @TheNotoriousJEN'
positive,' @tjwriter Hubby has Briso on DVD.  I haven seen it all yet but I enjoy it. I saw Army of Darkness and Evil Dead because of Hubs too.'
positive,'- @ToothFairyHeavn What a considerate Tooth Fairy you are, checking to make sure you didn miss anyone. '
positive,'@vangeest We are perfectly on schedule- Nobody is waisting time today  (Don mention the Sun again;) Dedicated audience'
positive,' @yhf My twenties: Look, a bed! WONDER WHAT WE CAN DO. My thirties: Look, a be--ZZZZZZZZZZZzz http://tr.im/n88N'
negative,' @YMPtweet @Spiral_galaxy but so badly no one does , i know that there is much more but that what i got so far'
positive,' @Zaius13 If it weren for unspeakable things, I don know what I do. http://tr.im/mX1N'
positive,' _BellaCullen18_  ie been ok just got through crying with leah * frowns at the thought* we were talking about our dead fathers'
positive,' ~ cooking!!!'
positive,' ~ ncis!!!'
positive,'- 1 follower WOW!'
positive,' 100 followers!  YAY!'
positive,' 11:11 makee a wishhh ;)&lt;3 GOODNIGHT'
positive,' 11:11. I know what I wishing for!'
positive,'- 155 days until the JBoncert in Milan!!!!I guarding my tickets'
negative,' 2 days of this month left, and I only have 400MB left on my onpeak downloads.'
negative,' 2 more weeks of classes and 1 week of exam blockk then HOLIDAYS!!! holland and then on to australia x'
negative,' 2 weeks!!!!'
positive,' 21 days of no twittering and i back. -.- i think.'
negative,' 2morrow last day of skool! i gonna miss everyone thats leaving and specially you mel mel! bye bye! good night twitters!! &lt;3'
positive,' 30 lbs lost since Feb. Still have a lot more to go.'
